address	kind	section	name	demangled
01e902f8	function	.text	LOAD_CHARACTER_SkinGdeFile__FP15WAD_FILE_HEADERPP14GDE_Header_PS2	LOAD_CHARACTER_SkinGdeFile(WAD_FILE_HEADER *, GDE_Header_PS2 **)
01e88238	function	.text	GDEMESH_GetMesh__FUi	GDEMESH_GetMesh(unsigned int)
01e7e448	function	.text	TEXMGR_LoadTexture__FP15WAD_FILE_HEADER	TEXMGR_LoadTexture(WAD_FILE_HEADER *)
01f69bc8	data	.bss	g_ParticleTextureHandlesInternal	g_ParticleTextureHandlesInternal
01e71ff0	function	.text	RatchetShipExhaust_RegisterParticleSystem__Fi10DRAW_Layer17DRAW_ColorKeyMode17DRAW_AlphaKeyMode14DRAW_BloomMode14DRAW_BlendMode	RatchetShipExhaust_RegisterParticleSystem(int, DRAW_Layer, DRAW_ColorKeyMode, DRAW_AlphaKeyMode, DRAW_BloomMode, DRAW_BlendMode)
01e76b68	function	.text	GCSPAR_StreckRegisterParticleSystem__FUi	GCSPAR_StreckRegisterParticleSystem(unsigned int)
01e73e40	function	.text	ClankTransExhaust_RegisterParticleSystem__Fi10DRAW_Layer17DRAW_ColorKeyMode17DRAW_AlphaKeyMode14DRAW_BloomMode14DRAW_BlendMode	ClankTransExhaust_RegisterParticleSystem(int, DRAW_Layer, DRAW_ColorKeyMode, DRAW_AlphaKeyMode, DRAW_BloomMode, DRAW_BlendMode)
01e75bf0	function	.text	SkyboardTransExhaust_RegisterParticleSystem__Fi10DRAW_Layer17DRAW_ColorKeyMode17DRAW_AlphaKeyMode14DRAW_BloomMode14DRAW_BlendMode	SkyboardTransExhaust_RegisterParticleSystem(int, DRAW_Layer, DRAW_ColorKeyMode, DRAW_AlphaKeyMode, DRAW_BloomMode, DRAW_BlendMode)
01e926f8	function	.text	GLOBALWAD_FindSound__FUi	GLOBALWAD_FindSound(unsigned int)
01e79728	function	.text	VEC_LookAtUpLeft__FP4VEC3T0PC4VEC3	VEC_LookAtUpLeft(VEC3 *, VEC3 *, VEC3 const *)
01e78288	function	.text	VEC_AngleBetweenVectors__FPC4VEC3T0b	VEC_AngleBetweenVectors(VEC3 const *, VEC3 const *, bool)
01e77038	function	.text	GCSPAR_StreckSetDragMotion__FRC4VEC3	GCSPAR_StreckSetDragMotion(VEC3 const &)
01e98bf8	function	.text	fptodp	fptodp
01e9f080	function	.text	sin	sin
01e98170	function	.text	dpmul	dpmul
01e98908	function	.text	dptofp	dptofp
01e98b30	function	.text	fptoui	fptoui
01e79c58	function	.text	VFPU_Slerp__FP4QUATPC4QUATT1f	VFPU_Slerp(QUAT *, QUAT const *, QUAT const *, float)
01e79ce0	function	.text	VFPU_Quat_ConvertToMatrix__FP7MATRIX4PC4QUAT	VFPU_Quat_ConvertToMatrix(MATRIX4 *, QUAT const *)
01e701e8	function	.text	RatchetShipExhaust_EmitParticles__FiUiP31RatchetShipExhaust_JointStorageT2f	RatchetShipExhaust_EmitParticles(int, unsigned int, RatchetShipExhaust_JointStorage *, RatchetShipExhaust_JointStorage *, float)
01e72188	function	.text	ClankTransExhaust_EmitParticles__FiUiP30ClankTransExhaust_JointStorageT2	ClankTransExhaust_EmitParticles(int, unsigned int, ClankTransExhaust_JointStorage *, ClankTransExhaust_JointStorage *)
01e73fd8	function	.text	SkyboardTransExhaust_EmitParticles__FiUiP33SkyboardTransExhaust_JointStorageT2	SkyboardTransExhaust_EmitParticles(int, unsigned int, SkyboardTransExhaust_JointStorage *, SkyboardTransExhaust_JointStorage *)
01e8c018	function	.text	ANIM_SwapJointMatrixBuffers__Fi	ANIM_SwapJointMatrixBuffers(int)
01e840a8	function	.text	Translate__Q34scee3Psp3GumPC14ScePspFVector3	scee::Psp::Gum::Translate(ScePspFVector3 const *)
01e83e98	function	.text	RotateY__Q34scee3Psp3Gumf	scee::Psp::Gum::RotateY(float)
01e83fa0	function	.text	RotateZ__Q34scee3Psp3Gumf	scee::Psp::Gum::RotateZ(float)
01e88080	function	.text	UTIL_SetupTextureState__Fv	UTIL_SetupTextureState(void)
01e837d0	function	.text	DepthMask__Q34scee3Psp2Gub	scee::Psp::Gu::DepthMask(bool)
01e83780	function	.text	TexOffset__Q34scee3Psp2Guff	scee::Psp::Gu::TexOffset(float, float)
01e836c8	function	.text	FlushTexTransform__Q34scee3Psp2Guv	scee::Psp::Gu::FlushTexTransform(void)
01e87658	function	.text	SYSTEM_SetDepthWrite__Fb	SYSTEM_SetDepthWrite(bool)
01e88688	function	.text	GDEMESH_RenderStaticMeshSimple__FP7MATRIX4UiUiUi	GDEMESH_RenderStaticMeshSimple(MATRIX4 *, unsigned int, unsigned int, unsigned int)
01e8bf08	function	.text	ANIM_Begin__Fv	ANIM_Begin(void)
01e8baa8	function	.text	ANIM_SetAllComponentsDefault__FP16GDE_SkeletonInfo	ANIM_SetAllComponentsDefault(GDE_SkeletonInfo *)
01e8bf58	function	.text	ANIM_End__Fv	ANIM_End(void)
01e83650	function	.text	Color__Q34scee3Psp2GuUi	scee::Psp::Gu::Color(unsigned int)
01f7aa80	data	.bss	g_pPackedMatrices	g_pPackedMatrices
01e8c130	function	.text	SKIN_DrawMesh__FP14GDE_Header_PS2PUiUiibUiffT4fT4	SKIN_DrawMesh(GDE_Header_PS2 *, unsigned int *, unsigned int, int, bool, unsigned int, float, float, bool, float, bool)
01e78e18	function	.text	VEC_MultiplyMatrix4__FP7MATRIX4PC7MATRIX4T1	VEC_MultiplyMatrix4(MATRIX4 *, MATRIX4 const *, MATRIX4 const *)
01e79648	function	.text	VEC_MakeScaleMat__FP4VEC3N20fff	VEC_MakeScaleMat(VEC3 *, VEC3 *, VEC3 *, float, float, float)
01e78f78	function	.text	VEC_MultiplyMatrix4By3__FP7MATRIX4PC7MATRIX4PC7MATRIX3	VEC_MultiplyMatrix4By3(MATRIX4 *, MATRIX4 const *, MATRIX3 const *)
01e88270	function	.text	GDEMESH_RenderTieMeshImmediate__FP7MATRIX4PC14GDE_Header_PS2UcUibN24	GDEMESH_RenderTieMeshImmediate(MATRIX4 *, GDE_Header_PS2 const *, unsigned char, unsigned int, bool, bool, bool)
01e79280	function	.text	VEC_MulMat4Vec3__FP4VEC3PC7MATRIX4PC4VEC3	VEC_MulMat4Vec3(VEC3 *, MATRIX4 const *, VEC3 const *)
01e7ed30	function	.text	TEXMGR_GetWidth__FUi	TEXMGR_GetWidth(unsigned int)
01e7ed60	function	.text	TEXMGR_GetHeight__FUi	TEXMGR_GetHeight(unsigned int)
01e83648	function	.text	Material__Q34scee3Psp2GuUiUi	scee::Psp::Gu::Material(unsigned int, unsigned int)
01e87cb0	function	.text	UTIL_Draw3DTexturedQuad__FP4VEC3P4VEC2T0T1T0T1T0T1Ui	UTIL_Draw3DTexturedQuad(VEC3 *, VEC2 *, VEC3 *, VEC2 *, VEC3 *, VEC2 *, VEC3 *, VEC2 *, unsigned int)
01e79578	function	.text	VEC_MakeMatFromYawPitchRoll__FP4VEC3N20fff	VEC_MakeMatFromYawPitchRoll(VEC3 *, VEC3 *, VEC3 *, float, float, float)
01e837d8	function	.text	BlendFunc__Q34scee3Psp2GuQ44scee3Psp2Gu15EBlendOperationQ44scee3Psp2Gu14EBlendFunctionT2UiUi	scee::Psp::Gu::BlendFunc(scee::Psp::Gu::EBlendOperation, scee::Psp::Gu::EBlendFunction, scee::Psp::Gu::EBlendFunction, unsigned int, unsigned int)
01e837a8	function	.text	ColorFunc__Q34scee3Psp2GuQ44scee3Psp2Gu13ETestFunctionUiUi	scee::Psp::Gu::ColorFunc(scee::Psp::Gu::ETestFunction, unsigned int, unsigned int)
01e836a0	function	.text	TexWrap__Q34scee3Psp2GuQ44scee3Psp2Gu16ETextureWrapModeT1	scee::Psp::Gu::TexWrap(scee::Psp::Gu::ETextureWrapMode, scee::Psp::Gu::ETextureWrapMode)
01e8cf98	function	.text	HUDOFFSET_GetOffset__FUi	HUDOFFSET_GetOffset(unsigned int)
01e8bfb0	function	.text	ANIM_GetBoneMatrix__FUib	ANIM_GetBoneMatrix(unsigned int, bool)
01e76bc8	function	.text	EmitParticles__FiPC23GCSPAR_StreckBoxEmitteriff	EmitParticles(int, GCSPAR_StreckBoxEmitter const *, int, float, float)
01e92ce0	function	.text	SND_MCPShutdown__Fv	SND_MCPShutdown(void)
01e6eb68	function	.text	MCPTRANS_SHRINK_StartSound__Fv	MCPTRANS_SHRINK_StartSound(void)
01e6ec58	function	.text	_GLOBAL_$I$MCP_mcptrans_shrink.cppAaeaaa	global constructors keyed to MCP_mcptrans_shrink.cppAaeaaa
01e77490	function	.text	ShrinkBeam_RegisterSystems__Fv	ShrinkBeam_RegisterSystems(void)
01e780a0	function	.text	SpiralSphere_Start__FP12Spiral_GroupPC4VEC3T1UifT1i	SpiralSphere_Start(Spiral_Group *, VEC3 const *, VEC3 const *, unsigned int, float, VEC3 const *, int)
01e77410	function	.text	Spiral_Stop__FP12Spiral_Group	Spiral_Stop(Spiral_Group *)
01e837c8	function	.text	DepthFunc__Q34scee3Psp2GuQ44scee3Psp2Gu13ETestFunction	scee::Psp::Gu::DepthFunc(scee::Psp::Gu::ETestFunction)
01e837b8	function	.text	StencilFunc__Q34scee3Psp2GuQ44scee3Psp2Gu13ETestFunctionUcUc	scee::Psp::Gu::StencilFunc(scee::Psp::Gu::ETestFunction, unsigned char, unsigned char)
