address	kind	section	name	demangled
01e81a78	function	.text	SetMatrixStack__Q34scee3Psp3GumP14ScePspFMatrix4UiUiUiUiUiUi	scee::Psp::Gum::SetMatrixStack(ScePspFMatrix4 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
01e628b8	function	.text	MEMCARD_GetSlotStatus__FUi	MEMCARD_GetSlotStatus(unsigned int)
01fd30d8	data	.bss	gRT_AuxBuffer	gRT_AuxBuffer
01e64830	function	.text	MEMCARD_Test__Fi	MEMCARD_Test(int)
01ec6da8	function	.text	strncpy	strncpy
01ef570c	data	.data	g_ENG_ClearColor	g_ENG_ClearColor
01ec82d8	function	.text	abort	abort
01e7d4e8	function	.text	FOG_Update__FUi	FOG_Update(unsigned int)
01e81c10	function	.text	LoadIdentity__Q34scee3Psp3Gumv	scee::Psp::Gum::LoadIdentity(void)
01e81de8	function	.text	MultMatrix__Q34scee3Psp3GumPC14ScePspFMatrix4	scee::Psp::Gum::MultMatrix(ScePspFMatrix4 const *)
01e9bdd8	function	.text	sceGsResetPath	sceGsResetPath
01e91078	function	.text	SND_LevelShutdown__Fv	SND_LevelShutdown(void)
01e83060	function	.text	AllocateBufferCache__FUi	AllocateBufferCache(unsigned int)
01ea67e0	function	.text	BinkNextFrame	BinkNextFrame
01fd30c0	data	.bss	gRT_ShadowBuffer	gRT_ShadowBuffer
01e7f7f0	function	.text	RENDEREFFECT_SwirlyEdgeBlur__Ff	RENDEREFFECT_SwirlyEdgeBlur(float)
01ea41e0	function	.text	scePadSetActDirect	scePadSetActDirect
01ea3fd8	function	.text	scePadGetState	scePadGetState
01e913a8	function	.text	SND_LevelUpdate__FPC7MATRIX4T0	SND_LevelUpdate(MATRIX4 const *, MATRIX4 const *)
01e8fd30	function	.text	PS2HEAP_TotalFreeMemSize__Fv	PS2HEAP_TotalFreeMemSize(void)
01f02f60	data	.data	staticmesh_vu_renderer_fast	staticmesh_vu_renderer_fast
01e81c78	function	.text	LoadMatrix__Q34scee3Psp3GumPC14ScePspFMatrix4	scee::Psp::Gum::LoadMatrix(ScePspFMatrix4 const *)
01ef69f8	data	.data	gRT_BackBuffer	gRT_BackBuffer
01e92868	function	.text	SND_AtracOpen__FPCc	SND_AtracOpen(char const *)
01f02310	data	.data	smesh_vu_renderer_scissoring	smesh_vu_renderer_scissoring
01ef1057	data	.data	g_bRenderPlayerShadow	g_bRenderPlayerShadow
01e91e10	function	.text	SND_Fixup__FUiPFP13WadLocationIDUi14WAD_ASSET_TYPE13WadLocationID_P15WAD_FILE_HEADER	SND_Fixup(unsigned int, WAD_FILE_HEADER *(*)(WadLocationID *, unsigned int, WAD_ASSET_TYPE, WadLocationID))
01e80a00	function	.text	RENDEREFFECT_DoFilmNoise__Fv	RENDEREFFECT_DoFilmNoise(void)
01ef105c	data	.data	g_RENDEREFFECT_SWIRLY_InnerRadius	g_RENDEREFFECT_SWIRLY_InnerRadius
01ec68e0	function	.text	strlen	strlen
01e9e628	function	.text	sqrtf	sqrtf
01e8f1b0	function	.text	MBOX_Poll__FiPP12HigMsgPacket	MBOX_Poll(int, HigMsgPacket **)
01fd3360	data	.bss	g_cntTag	g_cntTag
01e91790	function	.text	SND_SetGlobalVolume__Ff	SND_SetGlobalVolume(float)
01e90a08	function	.text	GlobalWad_ResetLoadedFlags__Fv	GlobalWad_ResetLoadedFlags(void)
01e93dd8	function	.text	dlib_displist_direct_end__FP13DLIB_DISPLIST	dlib_displist_direct_end(DLIB_DISPLIST *)
01e92910	function	.text	SND_PauseAtrac__Fbi	SND_PauseAtrac(bool, int)
01e7d460	function	.text	FOG_SetProperties__FUiffUif	FOG_SetProperties(unsigned int, float, float, unsigned int, float)
01ec83d8	function	.text	atoi	atoi
01ed1a70	function	.text	DelayThread	DelayThread
01e8fa28	function	.text	PS2HEAP_Malloc__FUi	PS2HEAP_Malloc(unsigned int)
01ed0c80	function	.text	SignalSema	SignalSema
01e92488	function	.text	SND_IsATRACPlaying__FPCcPi	SND_IsATRACPlaying(char const *, int *)
01ec60b8	function	.text	memcmp	memcmp
01ef69e0	data	.data	gRT_FrontBuffer	gRT_FrontBuffer
01ebbba0	function	.text	ps2fioRead	ps2fioRead
01ef6984	data	.data	G_TransitionWadCompacted	G_TransitionWadCompacted
01e91260	function	.text	SND_Update__FPC7MATRIX4N30	SND_Update(MATRIX4 const *, MATRIX4 const *, MATRIX4 const *, MATRIX4 const *)
01e82350	function	.text	Scale__Q34scee3Psp3GumPC14ScePspFVector3	scee::Psp::Gum::Scale(ScePspFVector3 const *)
01e910c0	function	.text	SND_FlushAndSync__FUi	SND_FlushAndSync(unsigned int)
01edda9a	data	.data	MCP_BypassMemcardCheckOnComingBack	MCP_BypassMemcardCheckOnComingBack
01ea3d50	function	.text	scePadPortClose	scePadPortClose
01ec6a28	function	.text	strncat	strncat
01e7e000	function	.text	RENDEREFFECT_Bloom__FUcb	RENDEREFFECT_Bloom(unsigned char, bool)
01ec7138	function	.text	printf	printf
01ef56b4	data	.data	g_CurLoadedScreenMatrix	g_CurLoadedScreenMatrix
